date,dailyDoublingRate,numberOfDoublingDays
2020-12-10T00:00:00.000Z,5.119674706589028,13.88258073057455
2020-12-11T00:00:00.000Z,2.8043956043956038,25.06143113243149
2020-12-12T00:00:00.000Z,2.5397639815289748,27.63691994892701
2020-12-13T00:00:00.000Z,3.052289216912674,23.0539293815309
2020-12-14T00:00:00.000Z,3.690216071862107,19.12785702900723
2020-12-15T00:00:00.000Z,8.780145165066733,8.236197258664978
2020-12-16T00:00:00.000Z,7.059836418424448,10.16080970856211
2020-12-17T00:00:00.000Z,5.6426752446052895,12.62741994846981
2020-12-18T00:00:00.000Z,6.077137782288755,11.74898246969445
2020-12-19T00:00:00.000Z,3.5163257983494836,20.05683447862338
2020-12-20T00:00:00.000Z,7.874061236279606,9.145114299794239
2020-12-21T00:00:00.000Z,8.24720184223211,8.746631176038484
2020-12-22T00:00:00.000Z,7.376440904368486,9.739232888110164
2020-12-23T00:00:00.000Z,5.464430519719876,13.02821086967182
2020-12-24T00:00:00.000Z,5.264307557885539,13.51053057380351
2020-12-25T00:00:00.000Z,5.059140900601777,14.04461000170969
2020-12-26T00:00:00.000Z,3.053646203681759,23.04383709890504
2020-12-27T00:00:00.000Z,1.6674972208379661,41.91373444310307
2020-12-28T00:00:00.000Z,6.277807103536692,11.38428782150355
2020-12-29T00:00:00.000Z,4.459502607585075,15.88720356708326
2020-12-30T00:00:00.000Z,6.208395598424121,11.50776943496804
2020-12-31T00:00:00.000Z,5.826298286006648,12.24017357141771
2021-01-01T00:00:00.000Z,6.070586813319645,11.76129442631811
2021-01-02T00:00:00.000Z,4.435518331766519,15.971263646706
2021-01-03T00:00:00.000Z,4.642662302236777,15.27390279697617
2021-01-04T00:00:00.000Z,7.52828319691361,9.549622403853027
2021-01-05T00:00:00.000Z,6.300606060606051,11.34432236458738
2021-01-06T00:00:00.000Z,4.586193527788551,15.45776311086924
2021-01-07T00:00:00.000Z,3.863933711295253,18.28328316657656
2021-01-08T00:00:00.000Z,4.486479677527711,15.79372815057081
2021-01-09T00:00:00.000Z,1.892744479495256,36.96676656200938
2021-01-10T00:00:00.000Z,3.3681055392321255,20.92439476308891
2021-01-11T00:00:00.000Z,2.4914630191342773,28.16604189837555
2021-01-12T00:00:00.000Z,1.97673336435551,35.41072755882516
2021-01-13T00:00:00.000Z,2.909449321919433,24.16891614265395
2021-01-14T00:00:00.000Z,2.921196857097264,24.07310180996589
2021-01-15T00:00:00.000Z,0.4618460053767093,150.4281902434927
2021-01-16T00:00:00.000Z,-0.1217922327432341,-568.7760044384247
2021-01-17T00:00:00.000Z,-2.220695577501075,-30.86519543285436
2021-01-18T00:00:00.000Z,0.7043490479870851,98.75578234243218
2021-01-19T00:00:00.000Z,-1.175588230164137,-58.61447524559213
2021-01-20T00:00:00.000Z,-1.95379374856598,-35.12927504093483
2021-01-21T00:00:00.000Z,-3.636232718894006,-18.71352069909803
2021-01-22T00:00:00.000Z,-1.939027123963244,-35.39945807731879
2021-01-23T00:00:00.000Z,-5.0253362289023435,-13.44349915028509
2021-01-24T00:00:00.000Z,-1.4040436456996148,-49.02053227771594
2021-01-25T00:00:00.000Z,-2.81349174058102,-24.28832377149949
2021-01-26T00:00:00.000Z,-1.729010110313356,-39.74166867032873
2021-01-27T00:00:00.000Z,-1.352589089824685,-50.89859362995118
2021-01-28T00:00:00.000Z,-0.2008118846087426,-344.8256998274841
2021-01-29T00:00:00.000Z,-1.356584954239593,-50.74764469247134
2021-01-30T00:00:00.000Z,0.379452535532554,183.01668000445
2021-01-31T00:00:00.000Z,0.6140063367201963,113.2354752362861
2021-02-01T00:00:00.000Z,0.4191460713199868,165.7176018122357
2021-02-02T00:00:00.000Z,0.47578883626375756,146.0300834243999
2021-02-03T00:00:00.000Z,-0.5574807895133316,-123.9887207218164
2021-02-04T00:00:00.000Z,0.1493506493506436,464.4537300220607
2021-02-05T00:00:00.000Z,-0.38686809743023737,-178.8220678608272
2021-02-06T00:00:00.000Z,0.07593838142763154,913.1223455149718
2021-02-07T00:00:00.000Z,-1.363685636856371,-50.48158989938566
