name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,activeSickTo1000
ביתר עילית,1.1,ירוק,0.5,0.0077319587628,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,24.11210989118554,18.441359283488588,
כאבול,2.3,ירוק,0.7,0.0049019607843,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,51.11001826612337,45.39131656596881,
טייבה,2.1,ירוק,1.1,0.004329004329,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,47.89601184334485,42.748194338522275,
תל שבע,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,26.139055315591474,22.883284566439087,0.0
מעגלים,3.4,ירוק,4.8,0.0277777777777,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,51.16166505324298,45.06292352371733,
אזור,1.9,ירוק,0.8,0.0028735632183,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,61.21106743271848,56.282128817659505,
מצפה יריחו,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,45.18518518518518,40,0.0
פרדס חנה-כרכור,5.6,ירוק,15.4,0.0215667618141,0.4255319148936001,90,ירוק,2021-07-11T00:00:00.000Z,61.72386931219356,57.08885121202402,20.6
זמר,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,55.198670912363276,49.85463103973418,0.0
מיתר,3.4,ירוק,5.0,0.015015015015,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,76.59339556358526,70.24992472146944,
כאוכב אבו אל-היג'א,2,כתום,0.0,0,0, 0 ,כתום,2021-07-11T00:00:00.000Z,59.14684167350287,53.10363686081487,0.0
אור עקיבא,2.6,ירוק,5.2,0.0206611570247,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,65.72591028480198,60.39552969047741,
פוריידיס,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,58.35255599374953,52.08720886970757,0.0
ירכא,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,53.773041474654384,45.87557603686636,0.0
ריינה,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,45.322462631964044,40.27385805372635,0.0
גבעת אבני,2.3,ירוק,4.8,0.0178571428571,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,81.15384615384616,75.57692307692308,
גני מודיעין,4.5,ירוק,7.4,0.0153846153846,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,29.24214417744917,25.175600739371536,
כפר מצר,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,55.21958243340532,49.92800575953923,0.0
גבעת ברנר,2.4,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,67.2795497185741,61.350844277673545,0.0
הרצליה,3.8,ירוק,7.0,0.0104462020593,-0.2580645161291,85,ירוק,2021-07-11T00:00:00.000Z,73.51725667284896,68.5972905410854,8.6
עומר,3.3,ירוק,2.6,0.0036429872495,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,90.6064209274673,83.32672744087726,
