priod_Desc,visited_country,colorName,color_number,sum_arrived,sum_positived,percent_positive,last_update_date
UpToNow,טנזניה,כתום,2,3797,55,1.45,
UpToNow,פורטוגל,צהוב,3,7719,26,0.34,
UpToNow,בליז,כתום,2,14,1,7.14,
UpToNow,מלזיה,כתום,2,6,0,0,
UpToNow,קוסטה ריקה,כתום,2,2373,33,1.39,
UpToNow,אל סלבדור,כתום,2,44,0,0,
UpToNow,הולנד,כתום,2,29825,138,0.46,
UpToNow,ניו זילנד,צהוב,3,98,1,1.02,
UpToNow,נפאל,כתום,2,171,1,0.58,
UpToNow,גרנדה,כתום,2,27,0,0,
UpToNow,זמביה,כתום,2,233,1,0.43,
UpToNow,מולדובה,כתום,2,12525,187,1.49,
UpToNow,מרטיניק,כתום,2,3,0,0,
UpToNow,ונצואלה,כתום,2,190,3,1.58,
UpToNow,פנמה,כתום,2,1328,15,1.13,
UpToNow,רומניה,כתום,2,42307,362,0.86,
UpToNow,שוויץ,כתום,2,38404,171,0.45,
UpToNow,איסלנד,כתום,2,7629,50,0.66,
UpToNow,איי מרשל,כתום,2,1,0,0,
UpToNow,קנדה,כתום,2,16693,34,0.2,
UpToNow,קניה,כתום,2,1106,17,1.54,
UpToNow,גיבוטי,כתום,2,1,0,0,
UpToNow,צאד,כתום,2,17,0,0,
UpToNow,ונואטו,כתום,2,2,0,0,
UpToNow,ירדן,כתום,2,33325,193,0.58,
UpToNow,ויטנאם,כתום,2,86,0,0,
UpToNow,בלגיה,כתום,2,13444,52,0.39,
UpToNow,סוריה,כתום,2,575,0,0,
UpToNow,אירן,כתום,2,3,0,0,
UpToNow,מלדיבים,כתום,2,4887,25,0.51,
UpToNow,מוזמביק,כתום,2,91,0,0,
UpToNow,לאוס,כתום,2,2,0,0,
UpToNow,חוף השנהב,כתום,2,240,4,1.67,
UpToNow,ניקרגואה,כתום,2,25,0,0,
UpToNow,אקואדור,כתום,2,304,2,0.66,
UpToNow,פורטו ריקו,כתום,2,34,0,0,
UpToNow,מלטה,צהוב,3,308,0,0,
UpToNow,מונגוליה,כתום,2,11,0,0,
UpToNow,קפריסין,צהוב,3,59283,247,0.42,
UpToNow,גמביה,כתום,2,18,0,0,
UpToNow,רואנדה,כתום,2,348,2,0.57,
UpToNow,אנגליה,כתום,2,1,0,0,
UpToNow,ראוניון,כתום,2,9,0,0,
